"movie","type","word","minutes_in"
"Reservoir Dogs","word","dick",0.4
"Reservoir Dogs","word","dick",0.43
"Reservoir Dogs","word","fuck",0.55
"Reservoir Dogs","word","fuck",0.61
"Reservoir Dogs","word","bullshit",0.61
"Reservoir Dogs","word","fuck",0.66
"Reservoir Dogs","word","shit",0.9
"Reservoir Dogs","word","fuck",1.43
"Reservoir Dogs","word","dick",1.56
"Reservoir Dogs","word","fuck",1.66
"Reservoir Dogs","word","dick",1.75
"Reservoir Dogs","word","dick",1.75
"Reservoir Dogs","word","dick",1.75
"Reservoir Dogs","word","dick",1.75
"Reservoir Dogs","word","dick",1.75
"Reservoir Dogs","word","dick",1.75
"Reservoir Dogs","word","dick",1.75
"Reservoir Dogs","word","dick",1.75
"Reservoir Dogs","word","motherfuck",1.83
"Reservoir Dogs","word","dick",1.96
"Reservoir Dogs","word","pussi",2.15
"Reservoir Dogs","word","fuck",2.18
"Reservoir Dogs","word","fuck",2.3
"Reservoir Dogs","word","fuck",2.45
"Reservoir Dogs","word","hell",2.48
"Reservoir Dogs","word","fuck",2.51
"Reservoir Dogs","word","fuck",2.81
"Reservoir Dogs","word","dick",2.86
"Reservoir Dogs","word","jap",2.93
"Reservoir Dogs","word","fuck",3.05
"Reservoir Dogs","word","shit",3.2
"Reservoir Dogs","word","fuck",3.4
"Reservoir Dogs","word","fuck",3.55
"Reservoir Dogs","word","fuck",3.7
"Reservoir Dogs","word","motherfuck",3.93
"Reservoir Dogs","word","motherfuck",3.98
"Reservoir Dogs","word","shit",4.35
"Reservoir Dogs","word","shit",4.76
"Reservoir Dogs","word","fuck",4.86
"Reservoir Dogs","word","dick",5.25
"Reservoir Dogs","word","fuck",5.41
"Reservoir Dogs","word","fuck",5.51
"Reservoir Dogs","word","fuck",5.55
"Reservoir Dogs","word","fuck",5.61
"Reservoir Dogs","word","bullshit",6.23
"Reservoir Dogs","word","fuck",6.46
"Reservoir Dogs","word","fuck",6.58
"Reservoir Dogs","word","fuck",6.66
"Reservoir Dogs","word","bullshit",6.81
"Reservoir Dogs","word","fuck",6.86
"Reservoir Dogs","word","fuck",6.73
"Reservoir Dogs","word","bastard",7.38
"Reservoir Dogs","word","goddamn",7.41
"Reservoir Dogs","word","goddamn",7.58
"Reservoir Dogs","word","shit",9.63
"Reservoir Dogs","word","fuck",9.96
"Reservoir Dogs","word","shit",10.01
"Reservoir Dogs","word","fuck",10.08
"Reservoir Dogs","word","shit",10.26
"Reservoir Dogs","word","goddamn",11.13
"Reservoir Dogs","word","fuck",11.13
"Reservoir Dogs","word","fuck",11.85
"Reservoir Dogs","word","fuck",12.06
"Reservoir Dogs","word","fuck",12.08
"Reservoir Dogs","word","fuck",12.43
"Reservoir Dogs","word","fuck",12.45
"Reservoir Dogs","word","fuck",12.9
"Reservoir Dogs","word","fuck",13.73
